name,description,website,product_id,language,url,crawl_date
,,Rad Power Bikes (US),radkick-belt-drive-electric-lightweight-bike,en-US,https://www.radpowerbikes.com/products/radkick-belt-drive-electric-lightweight-bike,2025-05-22T23:53:38.578749
,,Rad Power Bikes (US),radwagon-electric-cargo-bike,en-US,https://www.radpowerbikes.com/products/radwagon-electric-cargo-bike,2025-05-22T23:53:40.999466
,,Rad Power Bikes (US),radcity-plus-electric-commuter-bike,en-US,https://www.radpowerbikes.com/products/radcity-plus-electric-commuter-bike,2025-05-22T23:53:43.192715
,,Rad Power Bikes (US),radster-trail-electric-off-road-bike,en-US,https://www.radpowerbikes.com/products/radster-trail-electric-off-road-bike,2025-05-22T23:53:45.405626
,,Rad Power Bikes (US),radrunner-plus-electric-cargo-utility-bike,en-US,https://www.radpowerbikes.com/products/radrunner-plus-electric-cargo-utility-bike,2025-05-22T23:53:47.782587
,,Rad Power Bikes (US),radrunner-3-plus-electric-utility-bike,en-US,https://www.radpowerbikes.com/products/radrunner-3-plus-electric-utility-bike,2025-05-22T23:53:49.875858
,,Rad Power Bikes (US),radwagon-4-electric-cargo-bike,en-US,https://www.radpowerbikes.com/products/radwagon-4-electric-cargo-bike,2025-05-22T23:53:52.176151
,,Rad Power Bikes (US),radster-road-electric-commuter-bike,en-US,https://www.radpowerbikes.com/products/radster-road-electric-commuter-bike,2025-05-22T23:53:54.660541
,,Rad Power Bikes (US),radrover-plus-electric-fat-tire-bike,en-US,https://www.radpowerbikes.com/products/radrover-plus-electric-fat-tire-bike,2025-05-22T23:53:56.895733
,,Rad Power Bikes (US),radexpand-electric-folding-bike,en-US,https://www.radpowerbikes.com/products/radexpand-electric-folding-bike,2025-05-22T23:53:59.096339
,,Rad Power Bikes (US),radrunner-electric-cargo-utility-bike,en-US,https://www.radpowerbikes.com/products/radrunner-electric-cargo-utility-bike,2025-05-22T23:54:01.352072
,,Rad Power Bikes (US),radkick-7-speed-electric-lightweight-bike,en-US,https://www.radpowerbikes.com/products/radkick-7-speed-electric-lightweight-bike,2025-05-22T23:54:03.449582
,,Rad Power Bikes (US),radrunner-max-electric-cargo-utility-bike,en-US,https://www.radpowerbikes.com/products/radrunner-max-electric-cargo-utility-bike,2025-05-22T23:54:05.681795
,,Rad Power Bikes (US),radexpand-plus-electric-folding-bike,en-US,https://www.radpowerbikes.com/products/radexpand-plus-electric-folding-bike,2025-05-22T23:54:08.098214
,,Rad Power Bikes (US),radtrike-electric-tricycle,en-US,https://www.radpowerbikes.com/products/radtrike-electric-tricycle,2025-05-22T23:54:10.204590
